zeit,durchlauf,seed,score,zuege_pro_s,run_id,config
00:19:18,1,11,100.65,8135.9,dqn-20260725-000916,"{""perception"": ""rich_grid9"", ""spiegel_lernen"": false, ""fruit_count"": 10, ""target_update"": 2000, ""curriculum_anteil"": 1.0, ""n_step"": 5, ""activation"": ""tanh""}"
00:29:20,1,11,117.95,11373.1,dqn-20260725-001919,"{""perception"": ""rich_grid9"", ""spiegel_lernen"": false, ""fruit_count"": 10, ""target_update"": 2000, ""curriculum_anteil"": 1.0, ""n_step"": 5, ""hidden"": [128, 128]}"
00:39:21,1,11,121.3,8151.7,dqn-20260725-002920,"{""perception"": ""rich_grid9"", ""spiegel_lernen"": false, ""fruit_count"": 10, ""target_update"": 2000, ""curriculum_anteil"": 1.0, ""n_step"": 5, ""hidden"": [256, 256]}"
00:49:24,1,11,122.65,6699.3,dqn-20260725-003922,"{""perception"": ""rich_grid9"", ""spiegel_lernen"": false, ""fruit_count"": 10, ""target_update"": 2000, ""curriculum_anteil"": 1.0, ""n_step"": 5, ""hidden"": [512, 256]}"
00:59:26,2,23,120.4,9532.0,dqn-20260725-004925,"{""perception"": ""rich_grid9"", ""spiegel_lernen"": false, ""fruit_count"": 10, ""target_update"": 2000, ""curriculum_anteil"": 1.0, ""n_step"": 5}"
01:09:28,2,23,122.85,9642.1,dqn-20260725-005927,"{""perception"": ""rich_grid9"", ""spiegel_lernen"": false, ""fruit_count"": 10, ""target_update"": 500, ""curriculum_anteil"": 1.0, ""n_step"": 5}"
01:19:30,2,23,122.7,9698.1,dqn-20260725-010929,"{""perception"": ""rich_grid9"", ""spiegel_lernen"": false, ""fruit_count"": 10, ""target_update"": 1000, ""curriculum_anteil"": 1.0, ""n_step"": 5}"
01:29:32,2,23,116.45,9707.1,dqn-20260725-011930,"{""perception"": ""rich_grid9"", ""spiegel_lernen"": false, ""fruit_count"": 10, ""target_update"": 500, ""curriculum_anteil"": 1.0, ""n_step"": 5, ""reward_step"": 0.0}"
01:39:34,2,23,122.95,9749.8,dqn-20260725-012932,"{""perception"": ""rich_grid9"", ""spiegel_lernen"": false, ""fruit_count"": 10, ""target_update"": 500, ""curriculum_anteil"": 1.0, ""n_step"": 5, ""eps_decay_steps"": 40000}"
01:49:36,2,23,107.7,8602.3,dqn-20260725-013935,"{""perception"": ""rich_grid9"", ""spiegel_lernen"": false, ""fruit_count"": 10, ""target_update"": 500, ""curriculum_anteil"": 1.0, ""n_step"": 5, ""eps_decay_steps"": 150000}"
